Date;Open;High;Low;Close;Volume
2026.01.01 00:00;87768.95;87864.35;87628.35;87703.45;475
2026.01.01 01:00;87696.15;87703.55;87598.85;87618.35;349
2026.01.01 02:00;87618.35;87820.75;87599.05;87779.45;403
2026.01.01 03:00;87789.75;88020.45;87789.75;87925.95;533
2026.01.01 04:00;87925.95;88070.45;87863.05;87890.95;496
2026.01.01 05:00;87890.95;87990.85;87812.05;87827.85;322
2026.01.01 06:00;87827.85;87835.15;87526.75;87565.95;617
2026.01.01 07:00;87565.95;87722.35;87565.95;87675.45;309
2026.01.01 08:00;87675.45;87675.45;87608.65;87627.95;141
2026.01.01 09:00;87627.95;87652.15;87571.05;87604.95;223
2026.01.01 10:00;87604.95;87780.45;87595.35;87743.85;347
2026.01.01 11:00;87743.85;87934.95;87722.05;87856.45;269
2026.01.01 12:00;87856.45;87859.95;87754.45;87832.55;178
2026.01.01 13:00;87832.55;87992.55;87822.15;87988.05;302
2026.01.01 14:00;87988.05;88012.65;87893.95;87916.65;319
2026.01.01 15:00;87916.65;87997.75;87837.15;87891.15;311
2026.01.01 16:00;87891.15;87947.25;87779.85;87936.55;453
2026.01.01 17:00;87936.55;88091.65;87891.45;88006.45;574
2026.01.01 18:00;88006.75;88026.05;87850.85;87970.65;438
2026.01.01 19:00;87970.65;88486.15;87949.75;88300.65;1004
2026.01.01 20:00;88302.55;88347.65;88075.05;88174.95;604
2026.01.01 21:00;88174.95;88411.25;88057.45;88366.45;438
2026.01.01 22:00;88366.45;88366.45;88226.55;88238.85;341
2026.01.01 23:00;88238.85;88424.95;88236.95;88364.95;338
2026.01.02 00:00;88364.95;88674.05;88364.95;88625.05;584
2026.01.02 01:00;88639.95;88901.75;88452.05;88823.25;1011
2026.01.02 02:00;88823.25;88872.05;88567.55;88813.95;1084
2026.01.02 03:00;88813.95;88860.25;88499.55;88622.75;679
2026.01.02 04:00;88626.25;88649.35;88352.35;88616.85;702
2026.01.02 05:00;88616.85;89099.95;88546.55;88920.95;1567
2026.01.02 06:00;88920.95;88963.15;88606.65;88616.05;747
2026.01.02 07:00;88616.05;88764.55;88550.45;88738.65;492
2026.01.02 08:00;88738.65;89062.15;88701.15;88918.85;702
2026.01.02 09:00;88925.40;89043.85;88814.95;88841.65;589
2026.01.02 10:00;88841.95;89173.75;88779.75;89152.55;830
2026.01.02 11:00;89150.65;89473.55;89080.95;89453.45;1547
2026.01.02 12:00;89455.95;89923.65;89432.05;89634.45;1592
2026.01.02 13:00;89638.70;89658.05;89336.55;89480.05;946
2026.01.02 14:00;89480.05;89568.05;89365.55;89382.95;876
2026.01.02 15:00;89382.95;89673.95;89278.45;89323.95;850
2026.01.02 16:00;89319.15;90121.15;88437.20;89555.45;5566
